,VB,VBG,VBN,VBZ,VBD,NN,NNP,RB,RBR,RBS,JJ,JJR,JJS,DT,PRP,IN,MD,NNS,WRB,CC,WP,PDT
878,,,,,,sheep,,,,,,,,,,,,,,,,
879,,,,,,hill,,,,,,,,,,,,,,,,
880,,,,,,chew,,,,,,,,,,,,,,,,
881,,,,,,clover,,,,,,,,,,,,,,,,
882,,,,,,fun,,,,,,,,,,,,,,,,
883,,,,,,tonight,,,,,,,,,,,,,,,,
884,,,,,,jerk,,,,,,,,,,,,,,,,
885,,,,,,currying,,,,,,,,,,,,,,,,
886,,,,,,hurt,,,,,,,,,,,,,,,,
887,,,,,,nature,,,,,,,,,,,,,,,,
888,,,,,,stall,,,,,,,,,,,,,,,,
889,,,,,,rope,,,,,,,,,,,,,,,,
890,,,,,,farmer,,,,,,,,,,,,,,,,
891,,,,,,breeder,,,,,,,,,,,,,,,,
892,,,,,,advance,,,,,,,,,,,,,,,,
893,,,,,,flowering,,,,,,,,,,,,,,,,
894,,,,,,reawakening,,,,,,,,,,,,,,,,
895,,,,,,tea,,,,,,,,,,,,,,,,
896,,,,,,lead,,,,,,,,,,,,,,,,
897,,,,,,concern,,,,,,,,,,,,,,,,
898,,,,,,information,,,,,,,,,,,,,,,,
899,,,,,,publisher,,,,,,,,,,,,,,,,
900,,,,,,article,,,,,,,,,,,,,,,,
901,,,,,,Exasperation,,,,,,,,,,,,,,,,
902,,,,,,guilt,,,,,,,,,,,,,,,,
903,,,,,,bind,,,,,,,,,,,,,,,,
904,,,,,,card,,,,,,,,,,,,,,,,
905,,,,,,file,,,,,,,,,,,,,,,,
906,,,,,,search,,,,,,,,,,,,,,,,
907,,,,,,rolodex,,,,,,,,,,,,,,,,
908,,,,,,organization,,,,,,,,,,,,,,,,
909,,,,,,respond,,,,,,,,,,,,,,,,
910,,,,,,request,,,,,,,,,,,,,,,,
911,,,,,,clock,,,,,,,,,,,,,,,,
912,,,,,,cake,,,,,,,,,,,,,,,,
913,,,,,,baking,,,,,,,,,,,,,,,,
914,,,,,,oven,,,,,,,,,,,,,,,,
915,,,,,,secretary,,,,,,,,,,,,,,,,
916,,,,,,catastrophe,,,,,,,,,,,,,,,,
917,,,,,,overtime,,,,,,,,,,,,,,,,
918,,,,,,switch,,,,,,,,,,,,,,,,
919,,,,,,baby,,,,,,,,,,,,,,,,
920,,,,,,ankle,,,,,,,,,,,,,,,,
921,,,,,,forbidden,,,,,,,,,,,,,,,,
922,,,,,,up,,,,,,,,,,,,,,,,
923,,,,,,piece,,,,,,,,,,,,,,,,
924,,,,,,surprise,,,,,,,,,,,,,,,,
925,,,,,,mother,,,,,,,,,,,,,,,,
926,,,,,,sitter,,,,,,,,,,,,,,,,
927,,,,,,loving,,,,,,,,,,,,,,,,
928,,,,,,revenge,,,,,,,,,,,,,,,,
929,,,,,,attorney,,,,,,,,,,,,,,,,
930,,,,,,adultery,,,,,,,,,,,,,,,,
931,,,,,,settlement,,,,,,,,,,,,,,,,
932,,,,,,duck,,,,,,,,,,,,,,,,
933,,,,,,century-Maine,,,,,,,,,,,,,,,,
934,,,,,,name,,,,,,,,,,,,,,,,
935,,,,,,Fullsame,,,,,,,,,,,,,,,,
936,,,,,,introduction,,,,,,,,,,,,,,,,
937,,,,,,poetry,,,,,,,,,,,,,,,,
938,,,,,,assertion,,,,,,,,,,,,,,,,
939,,,,,,voice,,,,,,,,,,,,,,,,
940,,,,,,retirement,,,,,,,,,,,,,,,,
941,,,,,,bird,,,,,,,,,,,,,,,,
942,,,,,,mammal,,,,,,,,,,,,,,,,
943,,,,,,wildlife,,,,,,,,,,,,,,,,
944,,,,,,drive,,,,,,,,,,,,,,,,
945,,,,,,nesting,,,,,,,,,,,,,,,,
946,,,,,,shot,,,,,,,,,,,,,,,,
947,,,,,,grass,,,,,,,,,,,,,,,,
948,,,,,,waterfowl,,,,,,,,,,,,,,,,
949,,,,,,camera,,,,,,,,,,,,,,,,
950,,,,,,ready,,,,,,,,,,,,,,,,
951,,,,,,parent,,,,,,,,,,,,,,,,
952,,,,,,female,,,,,,,,,,,,,,,,
953,,,,,,while,,,,,,,,,,,,,,,,
954,,,,,,sanctuary,,,,,,,,,,,,,,,,
955,,,,,,season,,,,,,,,,,,,,,,,
956,,,,,,sex,,,,,,,,,,,,,,,,
957,,,,,,freedom,,,,,,,,,,,,,,,,
958,,,,,,zone,,,,,,,,,,,,,,,,
959,,,,,,photographer,,,,,,,,,,,,,,,,
960,,,,,,paper,,,,,,,,,,,,,,,,
961,,,,,,warden,,,,,,,,,,,,,,,,
962,,,,,,plant,,,,,,,,,,,,,,,,
963,,,,,,page,,,,,,,,,,,,,,,,
964,,,,,,color,,,,,,,,,,,,,,,,
965,,,,,,supplement,,,,,,,,,,,,,,,,
966,,,,,,gentian,,,,,,,,,,,,,,,,
967,,,,,,locale,,,,,,,,,,,,,,,,
968,,,,,,pub,,,,,,,,,,,,,,,,
969,,,,,,drink,,,,,,,,,,,,,,,,
970,,,,,,habitat,,,,,,,,,,,,,,,,
971,,,,,,hobby,,,,,,,,,,,,,,,,
972,,,,,,detail,,,,,,,,,,,,,,,,
973,,,,,,driving,,,,,,,,,,,,,,,,
974,,,,,,bunch,,,,,,,,,,,,,,,,
975,,,,,,chocolate,,,,,,,,,,,,,,,,
976,,,,,,courtroom,,,,,,,,,,,,,,,,
977,,,,,,citizen,,,,,,,,,,,,,,,,
978,,,,,,sentence,,,,,,,,,,,,,,,,
979,,,,,,sum,,,,,,,,,,,,,,,,
980,,,,,,argue,,,,,,,,,,,,,,,,
981,,,,,,employment,,,,,,,,,,,,,,,,
982,,,,,,defendant,,,,,,,,,,,,,,,,
983,,,,,,diplomat,,,,,,,,,,,,,,,,
984,,,,,,gov't,,,,,,,,,,,,,,,,
985,,,,,,careerist,,,,,,,,,,,,,,,,
986,,,,,,making,,,,,,,,,,,,,,,,
987,,,,,,hearing,,,,,,,,,,,,,,,,
988,,,,,,response,,,,,,,,,,,,,,,,
989,,,,,,statement,,,,,,,,,,,,,,,,
990,,,,,,chairman,,,,,,,,,,,,,,,,
991,,,,,,forth,,,,,,,,,,,,,,,,
992,,,,,,majority,,,,,,,,,,,,,,,,
993,,,,,,expression,,,,,,,,,,,,,,,,
994,,,,,,discussing,,,,,,,,,,,,,,,,
995,,,,,,policy,,,,,,,,,,,,,,,,
996,,,,,,present,,,,,,,,,,,,,,,,
997,,,,,,abortion,,,,,,,,,,,,,,,,
998,,,,,,famine,,,,,,,,,,,,,,,,
999,,,,,,hue,,,,,,,,,,,,,,,,
1000,,,,,,cry,,,,,,,,,,,,,,,,
1001,,,,,,politeness,,,,,,,,,,,,,,,,
1002,,,,,,speaker,,,,,,,,,,,,,,,,
1003,,,,,,speech,,,,,,,,,,,,,,,,
1004,,,,,,television,,,,,,,,,,,,,,,,
1005,,,,,,independence,,,,,,,,,,,,,,,,
1006,,,,,,conference,,,,,,,,,,,,,,,,
1007,,,,,,bald,,,,,,,,,,,,,,,,
1008,,,,,,spokesman,,,,,,,,,,,,,,,,
1009,,,,,,ministry,,,,,,,,,,,,,,,,
1010,,,,,,state,,,,,,,,,,,,,,,,
1011,,,,,,interpreter,,,,,,,,,,,,,,,,
1012,,,,,,union,,,,,,,,,,,,,,,,
1013,,,,,,threatening,,,,,,,,,,,,,,,,
1014,,,,,,banker,,,,,,,,,,,,,,,,
1015,,,,,,front,,,,,,,,,,,,,,,,
1016,,,,,,household,,,,,,,,,,,,,,,,
1017,,,,,,fortunate,,,,,,,,,,,,,,,,
1018,,,,,,amount,,,,,,,,,,,,,,,,
1019,,,,,,extent,,,,,,,,,,,,,,,,
1020,,,,,,laundry,,,,,,,,,,,,,,,,
1021,,,,,,pressing,,,,,,,,,,,,,,,,
1022,,,,,,blind,,,,,,,,,,,,,,,,
1023,,,,,,chatter,,,,,,,,,,,,,,,,
1024,,,,,,lawn,,,,,,,,,,,,,,,,
1025,,,,,,flower,,,,,,,,,,,,,,,,
1026,,,,,,mowing,,,,,,,,,,,,,,,,
1027,,,,,,mower,,,,,,,,,,,,,,,,
1028,,,,,,proud,,,,,,,,,,,,,,,,
1029,,,,,,peace,,,,,,,,,,,,,,,,
1030,,,,,,waist,,,,,,,,,,,,,,,,
1031,,,,,,lemonade,,,,,,,,,,,,,,,,
1032,,,,,,oak,,,,,,,,,,,,,,,,
1033,,,,,,backyard,,,,,,,,,,,,,,,,
1034,,,,,,handyman,,,,,,,,,,,,,,,,
1035,,,,,,welfare,,,,,,,,,,,,,,,,
1036,,,,,,assignment,,,,,,,,,,,,,,,,
1037,,,,,,advantage,,,,,,,,,,,,,,,,
1038,,,,,,crisp,,,,,,,,,,,,,,,,
1039,,,,,,chest,,,,,,,,,,,,,,,,
1040,,,,,,sunshine,,,,,,,,,,,,,,,,
1041,,,,,,potter,,,,,,,,,,,,,,,,
1042,,,,,,employee,,,,,,,,,,,,,,,,
1043,,,,,,program,,,,,,,,,,,,,,,,
1044,,,,,,gift,,,,,,,,,,,,,,,,
1045,,,,,,forever,,,,,,,,,,,,,,,,
1046,,,,,,compost,,,,,,,,,,,,,,,,
1047,,,,,,heap,,,,,,,,,,,,,,,,
1048,,,,,,environment,,,,,,,,,,,,,,,,
1049,,,,,,autumn,,,,,,,,,,,,,,,,
1050,,,,,,reticent,,,,,,,,,,,,,,,,
1051,,,,,,awkward,,,,,,,,,,,,,,,,
1052,,,,,,activity,,,,,,,,,,,,,,,,
1053,,,,,,wife/mother,,,,,,,,,,,,,,,,
1054,,,,,,birthday,,,,,,,,,,,,,,,,
1055,,,,,,menopausal,,,,,,,,,,,,,,,,
1056,,,,,,speed,,,,,,,,,,,,,,,,
1057,,,,,,route,,,,,,,,,,,,,,,,
1058,,,,,,Conversation,,,,,,,,,,,,,,,,
1059,,,,,,sail,,,,,,,,,,,,,,,,
1060,,,,,,proof,,,,,,,,,,,,,,,,
1061,,,,,,burglar,,,,,,,,,,,,,,,,
1062,,,,,,porthole,,,,,,,,,,,,,,,,
1063,,,,,,Sort,,,,,,,,,,,,,,,,
1064,,,,,,scenario,,,,,,,,,,,,,,,,
1065,,,,,,Captain,,,,,,,,,,,,,,,,
1066,,,,,,hat,,,,,,,,,,,,,,,,
1067,,,,,,unbeknownst,,,,,,,,,,,,,,,,
1068,,,,,,tail,,,,,,,,,,,,,,,,
1069,,,,,,goose,,,,,,,,,,,,,,,,
1070,,,,,,knit,,,,,,,,,,,,,,,,
1071,,,,,,purl,,,,,,,,,,,,,,,,
1072,,,,,,stitch,,,,,,,,,,,,,,,,
1073,,,,,,iris,,,,,,,,,,,,,,,,
1074,,,,,,pattern,,,,,,,,,,,,,,,,
1075,,,,,,ivory,,,,,,,,,,,,,,,,
1076,,,,,,purple,,,,,,,,,,,,,,,,
1077,,,,,,armhole,,,,,,,,,,,,,,,,
1078,,,,,,vest,,,,,,,,,,,,,,,,
1079,,,,,,glitter,,,,,,,,,,,,,,,,
1080,,,,,,hem,,,,,,,,,,,,,,,,
1081,,,,,,wise,,,,,,,,,,,,,,,,
1082,,,,,,draftsman,,,,,,,,,,,,,,,,
1083,,,,,,drafting,,,,,,,,,,,,,,,,
1084,,,,,,deep,,,,,,,,,,,,,,,,
1085,,,,,,decision,,,,,,,,,,,,,,,,
1086,,,,,,need,,,,,,,,,,,,,,,,
1087,,,,,,danger,,,,,,,,,,,,,,,,
1088,,,,,,movie,,,,,,,,,,,,,,,,
1089,,,,,,blackmailer,,,,,,,,,,,,,,,,
1090,,,,,,quiet,,,,,,,,,,,,,,,,
1091,,,,,,nerd,,,,,,,,,,,,,,,,
1092,,,,,,bother,,,,,,,,,,,,,,,,
1093,,,,,,exercise,,,,,,,,,,,,,,,,
1094,,,,,,schooling,,,,,,,,,,,,,,,,
1095,,,,,,speechless,,,,,,,,,,,,,,,,
1096,,,,,,ear,,,,,,,,,,,,,,,,
1097,,,,,,law,,,,,,,,,,,,,,,,
1098,,,,,,stick-in-the-mud,,,,,,,,,,,,,,,,
1099,,,,,,physicist,,,,,,,,,,,,,,,,
1100,,,,,,publicity,,,,,,,,,,,,,,,,
1101,,,,,,raise,,,,,,,,,,,,,,,,
1102,,,,,,backbone,,,,,,,,,,,,,,,,
1103,,,,,,contribution,,,,,,,,,,,,,,,,
1104,,,,,,step,,,,,,,,,,,,,,,,
1105,,,,,,truth,,,,,,,,,,,,,,,,
1106,,,,,,authority,,,,,,,,,,,,,,,,
1107,,,,,,Student,,,,,,,,,,,,,,,,
1108,,,,,,potential,,,,,,,,,,,,,,,,
1109,,,,,,carefully,,,,,,,,,,,,,,,,
1110,,,,,,threshold,,,,,,,,,,,,,,,,
1111,,,,,,winning,,,,,,,,,,,,,,,,
1112,,,,,,test-tube,,,,,,,,,,,,,,,,
1113,,,,,,antidote,,,,,,,,,,,,,,,,
1114,,,,,,narcissism,,,,,,,,,,,,,,,,
1115,,,,,,guess,,,,,,,,,,,,,,,,
1116,,,,,,mankind,,,,,,,,,,,,,,,,
1117,,,,,,destruction,,,,,,,,,,,,,,,,
1118,,,,,,imbalance,,,,,,,,,,,,,,,,
1119,,,,,,etc.,,,,,,,,,,,,,,,,
1120,,,,,,brain,,,,,,,,,,,,,,,,
1121,,,,,,thereby,,,,,,,,,,,,,,,,
1122,,,,,,contract,,,,,,,,,,,,,,,,
1123,,,,,,dispute,,,,,,,,,,,,,,,,
1124,,,,,,somersault,,,,,,,,,,,,,,,,
1125,,,,,,catcher,,,,,,,,,,,,,,,,
1126,,,,,,artiste,,,,,,,,,,,,,,,,
1127,,,,,,hair,,,,,,,,,,,,,,,,
1128,,,,,,orphan,,,,,,,,,,,,,,,,
1129,,,,,,fashion,,,,,,,,,,,,,,,,
1130,,,,,,attack,,,,,,,,,,,,,,,,
1131,,,,,,boring,,,,,,,,,,,,,,,,
1132,,,,,,gypsy,,,,,,,,,,,,,,,,
1133,,,,,,fair,,,,,,,,,,,,,,,,
1134,,,,,,carnival,,,,,,,,,,,,,,,,
1135,,,,,,cotton,,,,,,,,,,,,,,,,
1136,,,,,,candy,,,,,,,,,,,,,,,,
1137,,,,,,caramel,,,,,,,,,,,,,,,,
1138,,,,,,bow,,,,,,,,,,,,,,,,
1139,,,,,,cheese,,,,,,,,,,,,,,,,
1140,,,,,,Tonight,,,,,,,,,,,,,,,,
1141,,,,,,public,,,,,,,,,,,,,,,,
1142,,,,,,spin,,,,,,,,,,,,,,,,
1143,,,,,,riding,,,,,,,,,,,,,,,,
1144,,,,,,rain,,,,,,,,,,,,,,,,
1145,,,,,,draft,,,,,,,,,,,,,,,,
1146,,,,,,superb,,,,,,,,,,,,,,,,
1147,,,,,,mountain,,,,,,,,,,,,,,,,
1148,,,,,,freer,,,,,,,,,,,,,,,,
1149,,,,,,schedule,,,,,,,,,,,,,,,,
1150,,,,,,virtue,,,,,,,,,,,,,,,,
1151,,,,,,travel,,,,,,,,,,,,,,,,
1152,,,,,,box,,,,,,,,,,,,,,,,
1153,,,,,,century,,,,,,,,,,,,,,,,
1154,,,,,,exchange,,,,,,,,,,,,,,,,
1155,,,,,,fond,,,,,,,,,,,,,,,,
1156,,,,,,language,,,,,,,,,,,,,,,,
1157,,,,,,barrier,,,,,,,,,,,,,,,,
1158,,,,,,court,,,,,,,,,,,,,,,,
1159,,,,,,walking,,,,,,,,,,,,,,,,
1160,,,,,,grape,,,,,,,,,,,,,,,,
1161,,,,,,harvest,,,,,,,,,,,,,,,,
1162,,,,,,maple,,,,,,,,,,,,,,,,
1163,,,,,,tree,,,,,,,,,,,,,,,,
